Type,Value,Type,Value,Type,Value
Data Source,Cold_Science_11LTAN_Finalv_1_TiNOX : TMD : ACUBESAT_FEB_NEWNEWPAYLO,Data Source,Cold_Science_11LTAN_Finalv_1_TiNOX : TMD : ACUBESAT_FEB_NEWNEWPAYLO,Data Source,Cold_Science_11LTAN_Finalv_1_TiNOX : TMD : ACUBESAT_FEB_NEWNEWPAYLO
Element,18822,Element,23916,Element,680008
,,,,,
,,,,,
Time[s],Temperature,Time[s],Temperature,Time[s],Temperature
2150.0,-12.70414438365055,2150.0,14.199897325441144,2150.0,-13.591987719665951
2160.0,-12.704390020314872,2160.0,14.310565176884452,2160.0,-13.53171818757009
2170.0,-12.704623288594195,2170.0,14.4210691937048,2170.0,-13.473256742427779
2180.0,-12.70484176340026,2180.0,14.53142737252421,2180.0,-13.412372106504346
2190.0,-12.705047270273877,2190.0,14.641633953401982,2190.0,-13.35559365642574
2200.0,-12.705239557455092,2200.0,14.751690684828576,2200.0,-13.301799803627793
2210.0,-12.705417245193122,2210.0,14.861598340101157,2210.0,-13.248636304584876
2220.0,-12.705579897851663,2220.0,14.971352788749678,2220.0,-13.196003515346455
2230.0,-12.705726610700758,2230.0,15.080951784401055,2230.0,-13.143697522547194
2240.0,-12.70585614499781,2240.0,15.190394374501787,2240.0,-13.091387092331676
2250.0,-12.705967298181045,2250.0,15.299680387988271,2250.0,-13.038673881106947
2260.0,-12.706058972694425,2260.0,15.408810151852565,2260.0,-12.985158251794603
2270.0,-12.70613019674924,2270.0,15.517784302500987,2270.0,-12.930474783107107
2280.0,-12.706180158431945,2280.0,15.626603644703117,2280.0,-12.874313716234528
2290.0,-12.706208217299842,2290.0,15.735269063209769,2290.0,-12.816436241182865
2300.0,-12.706213928616256,2300.0,15.84378146326156,2300.0,-12.75668255778744
2310.0,-12.706197072167713,2310.0,15.952141728955361,2310.0,-12.694978787617659
2320.0,-12.70615772683009,2320.0,16.060350663029837,2320.0,-12.631344220022019
2330.0,-12.706096280227738,2330.0,16.168408949191903,2330.0,-12.5659009647247
2340.0,-12.706013385516018,2340.0,16.27631714761596,2340.0,-12.498877031110696
2350.0,-12.705909850940783,2350.0,16.384075838495825,2350.0,-12.430537581065447
2360.0,-12.705783393610668,2360.0,16.491702473229168,2360.0,-12.356283326727892
2370.0,-12.705637597945843,2370.0,16.599190588199637,2370.0,-12.284590583793888
2380.0,-12.70547310265687,2380.0,16.70654142635898,2380.0,-12.214812298641576
2390.0,-12.70528900804918,2390.0,16.813755514528506,2390.0,-12.144493794246381
2400.0,-12.705085668422575,2400.0,16.92082841551432,2400.0,-12.07396861709556
2410.0,-12.704863611711403,2410.0,17.027757232552588,2410.0,-12.00351082317451
2420.0,-12.704623571171288,2420.0,17.134540082390846,2420.0,-11.933433934781384
2430.0,-12.704366460601427,2430.0,17.241175757368158,2430.0,-11.86411891160967
2440.0,-12.704092566693552,2440.0,17.347663821503055,2440.0,-11.795926824430712
2450.0,-12.703801532284468,2450.0,17.454004439373186,2450.0,-11.729050388932318
2460.0,-12.703493123767343,2460.0,17.56019796021187,2460.0,-11.663574727896432
2470.0,-12.703167323507778,2470.0,17.666244803788114,2470.0,-11.59956985301935
2480.0,-12.702824286661118,2480.0,17.77214541888321,2480.0,-11.53713098185433
2490.0,-12.702463633826964,2490.0,17.877900540217684,2490.0,-11.476313903445561
2500.0,-12.70208446992581,2500.0,17.98351116298183,2500.0,-11.417007046918565
2510.0,-12.701685945980731,2510.0,18.088978287960135,2510.0,-11.35897634691762
2520.0,-12.701267319468363,2520.0,18.194302880870364,2520.0,-11.3019464229176
2530.0,-12.700827981197603,2530.0,18.29948595499788,2530.0,-11.245604149777972
2540.0,-12.700365275274944,2540.0,18.4045446102762,2540.0,-11.185759839427417
2550.0,-12.699881865202096,2550.0,18.509472752395965,2550.0,-11.128896922666177
2560.0,-12.69937758270757,2560.0,18.614271889217225,2560.0,-11.074088276352745
2570.0,-12.698850314432898,2570.0,18.71894298957203,2570.0,-11.018929545982285
2580.0,-12.698299017521007,2580.0,18.823482269110553,2580.0,-10.963150044257143
2590.0,-12.697722909494543,2590.0,18.92788744311144,2590.0,-10.906417098072316
2600.0,-12.69712145920127,2600.0,19.032157218675444,2600.0,-10.848451770206657
2610.0,-12.696494363152443,2610.0,19.13629095040703,2610.0,-10.789068941002824
2620.0,-12.695841580320067,2620.0,19.240288395432557,2620.0,-10.728191867339655
2630.0,-12.695163351300035,2630.0,19.34414952526739,2630.0,-10.66585724106784
2640.0,-12.694460139490868,2640.0,19.44787442780403,2640.0,-10.602214353253745
2650.0,-12.693732549099368,2650.0,19.551463267182093,2650.0,-10.537508007446457
2660.0,-12.692981291303337,2660.0,19.654916249967687,2660.0,-10.472053339195009
2670.0,-12.692207126773424,2670.0,19.75823361218981,2670.0,-10.406213354809593
2680.0,-12.691410753137275,2680.0,19.861415637237076,2680.0,-10.340364944783772
2690.0,-12.690592703902853,2690.0,19.96446267905825,2690.0,-10.274861454674873
2700.0,-12.689753366070079,2700.0,20.067375148777316,2700.0,-10.210007713056092
2710.0,-12.688892976059785,2710.0,20.17015360881041,2710.0,-10.145997556306183
2720.0,-12.688009284430347,2720.0,20.27281453668802,2720.0,-10.078554965402612
2730.0,-12.687105266919502,2730.0,20.37535171209533,2730.0,-10.015311839464838
2740.0,-12.686181329810115,2740.0,20.477766230047358,2740.0,-9.955431126720326
2750.0,-12.68523644649005,2750.0,20.58005849228518,2750.0,-9.896606643333614
2760.0,-12.68427008499944,2760.0,20.68222447059843,2760.0,-9.838911069439439
2770.0,-12.683281271709882,2770.0,20.784261882484376,2770.0,-9.782175250806292
2780.0,-12.682268991264959,2780.0,20.88616953460686,2780.0,-9.726102462128523
2790.0,-12.681232195809516,2790.0,20.9879469834957,2790.0,-9.67034318767939
2800.0,-12.680169842261844,2800.0,21.08959427511143,2800.0,-9.614533430517067
2810.0,-12.679080948543216,2810.0,21.19111175357865,2810.0,-9.558323334054052
2820.0,-12.677964657710346,2820.0,21.292499927799042,2820.0,-9.501401468509146
2830.0,-12.676820326542186,2830.0,21.393759366042683,2830.0,-9.44351619990024
2840.0,-12.675647648863704,2840.0,21.494890614871636,2840.0,-9.384497480159599
2850.0,-12.674446774193344,2850.0,21.59589413251339,2850.0,-9.324282260741942
2860.0,-12.673218379220252,2860.0,21.69677025291181,2860.0,-9.262933652799488
2870.0,-12.671963642473024,2870.0,21.797519179391056,2870.0,-9.200640577907016
2880.0,-12.670683843739086,2880.0,21.89814112212426,2880.0,-9.13768061359051
2890.0,-12.669379441981482,2890.0,21.998636750385295,2890.0,-9.074209799099032
2900.0,-12.668047927769226,2900.0,22.099022450171006,2900.0,-9.005735289221473
2910.0,-12.666692752768556,2910.0,22.199292215542606,2910.0,-8.939825868176872
2920.0,-12.665314746972378,2920.0,22.29944711565597,2920.0,-8.875699915585805
2930.0,-12.663913184182475,2930.0,22.399487528712367,2930.0,-8.811029713431587
2940.0,-12.66248852918491,2940.0,22.499409212825473,2940.0,-8.746112036201882
2950.0,-12.661041452449098,2950.0,22.599209359593832,2950.0,-8.681217057363687
2960.0,-12.659572772693227,2960.0,22.698886148429857,2960.0,-8.616646144346468
2970.0,-12.658083372451237,2970.0,22.7984384523533,2970.0,-8.552724006651598
2980.0,-12.656574146624727,2980.0,22.89786562730813,2980.0,-8.489775560811145
2990.0,-12.655045950252225,2990.0,22.997167365489414,2990.0,-8.428105668821363
3000.0,-12.653499565572222,3000.0,23.096343595582656,3000.0,-8.367985883052235
